date,AAPL,Return,42d,252d,Mov_Vol
2008-08-26,173.64,0.006297140887380347,169.10761904761907,162.7993253968254,0.01715266526589641
2008-08-27,174.67,0.005914289008908678,169.21666666666667,162.98920634920634,0.020166276892668592
2008-08-28,173.74,-0.005338550608526918,169.36666666666667,163.14658730158732,0.016323233090372927
2008-08-29,169.53,-0.024530026521912857,169.24404761904762,163.2786507936508,0.013766629529929509
2008-09-02,166.19,-0.019898190170429732,169.19666666666666,163.38861111111112,0.011490485425233402
2008-09-03,166.96,0.004622550629513568,169.12142857142857,163.47908730158733,0.009249450133809529
2008-09-04,161.22,-0.03498437091349052,168.7895238095238,163.5761507936508,0.01036519232402505
2008-09-05,160.18,-0.006471708959918589,168.32833333333332,163.67603174603173,0.010768795767732006
2008-09-08,157.92,-0.014209607210364907,167.93952380952382,163.7798015873016,0.011403855707005767
2008-09-09,151.68,-0.04031553717845964,167.3454761904762,163.83920634920636,0.006545786832411464
2008-09-10,151.61,-0.0004616044132212973,166.8461904761905,163.90317460317462,0.007081391006342601
2008-09-11,152.65,0.0068362850873964565,166.34071428571428,163.965873015873,0.006882876912710491
2008-09-12,148.94,-0.024604178898387376,165.84785714285715,164.01246031746032,0.0051720548241096205
2008-09-15,140.36,-0.05933298956748503,165.0752380952381,164.0186111111111,0.0006995151737276884
2008-09-16,139.88,-0.0034256385198393924,164.315,164.02444444444444,0.0006655083342101596
2008-09-17,127.83,-0.09008365601524478,163.42642857142857,163.9725,-0.0061413618685799785
2008-09-18,134.09,0.04780996011162041,162.6597619047619,163.94599206349207,-0.003062528738371876
2008-09-19,140.91,0.04961017241546273,162.15714285714287,163.94837301587302,0.00026880381659862853
2008-09-22,131.05,-0.0725424589375979,161.31880952380953,163.89638888888888,-0.006001791999910094
2008-09-23,126.84,-0.032652480099268855,160.55238095238096,163.8113095238095,-0.009838158759117728
2008-09-24,128.71,0.014635361991139899,159.75690476190476,163.71420634920634,-0.01096423840569539
2008-09-25,131.93,0.02470966723439877,159.22190476190477,163.63150793650794,-0.009238840329184959
2008-09-26,128.24,-0.028367970594387726,158.5352380952381,163.5273015873016,-0.011735203988965891
2008-09-29,105.26,-0.19747002837566469,157.2347619047619,163.33599206349206,-0.023753279877089962
2008-09-30,113.66,0.07677805594334237,156.1564285714286,163.16662698412696,-0.020083872180899316
2008-10-01,109.12,-0.04076334177382345,155.02452380952383,162.970873015873,-0.02349621765796863
2008-10-02,100.1,-0.08627850777397716,153.7595238095238,162.7414285714286,-0.028720190458902475
2008-10-03,97.07,-0.030737318597039934,152.2459523809524,162.506626984127,-0.029982719643994807
2008-10-06,98.14,0.010962662937622466,150.67333333333332,162.25539682539682,-0.031358481833415545
2008-10-07,89.16,-0.09596252214408925,148.90166666666667,161.94289682539682,-0.03987497555083297
2008-10-08,89.79,0.007041102015049349,147.00261904761905,161.63309523809525,-0.03941266673511939
2008-10-09,88.74,-0.01176286458195397,144.98309523809525,161.32337301587302,-0.039750825376731226
2008-10-10,96.8,0.08693624833176793,143.07999999999998,161.06373015873015,-0.03252813198909465
2008-10-13,110.26,0.1301942188790062,141.43619047619046,160.83757936507936,-0.026246387563863004
2008-10-14,104.08,-0.057681378957287754,139.6447619047619,160.5879761904762,-0.02977819624648157
2008-10-15,97.95,-0.06070268981369998,137.79261904761904,160.30373015873016,-0.03457541185559969
2008-10-16,101.89,0.03943665559564428,136.04261904761904,160.02253968253967,-0.03325782865870517
2008-10-17,97.4,-0.04506758933770445,134.23000000000002,159.72055555555556,-0.03636971889761061
2008-10-20,98.44,0.010621014874365658,132.38714285714286,159.43492063492062,-0.03457233178478651
2008-10-21,91.49,-0.07321754883141132,130.41571428571427,159.10607142857145,-0.04062440587807028
2008-10-22,96.87,0.05714019674684983,128.51285714285714,158.75174603174602,-0.04115004074796519
2008-10-23,98.23,0.013941794248484745,126.74333333333334,158.40373015873016,-0.040193913189347306
2008-10-24,96.38,-0.019012956474591586,124.90380952380953,158.060873015873,-0.040315236101710075
2008-10-27,92.09,-0.04553235147891098,122.93761904761907,157.69337301587302,-0.04384177029799751
